CD_MICRO;NM_MICRO;SIGLA_UF;2013;2014;2015;2016;2017;2018
25012;Curimataú Ocidental;PB;62;-13;-117;-23;160;-36
25013;Curimataú Oriental;PB;-869;-909;-890;-865;-866;-908
25014;Esperança;PB;-101;-77;-224;-134;-58;-50
25015;Brejo Paraibano;PB;-1611;-1541;-1587;-1696;-1513;-1659
25016;Guarabira;PB;-1212;-1226;-1525;-1351;-1176;-1343
25017;Campina Grande;PB;-2367;-2320;-3048;-2973;-2496;-2902
25018;Itabaiana;PB;-1009;-1051;-1233;-1201;-1052;-1098
25019;Umbuzeiro;PB;-731;-693;-776;-709;-690;-710
25020;Litoral Norte;PB;-420;-331;-270;-461;-546;-706
25021;Sapé;PB;-617;-560;-450;-568;-465;-787
25022;João Pessoa;PB;5591;5005;5100;4205;4961;3841
25023;Litoral Sul;PB;-368;-515;-445;-584;-555;-640
26001;Araripina;PE;-2081;-1637;-1857;-1961;-1446;-1665
26002;Salgueiro;PE;-1647;-1398;-1461;-1595;-1238;-1203
26003;Pajeú;PE;-2343;-2106;-2349;-2332;-1641;-2174
26004;Sertão do Moxotó;PE;146;303;287;637;795;415
26005;Petrolina;PE;3515;3502;3111;3288;3924;4129
26006;Itaparica;PE;-336;-261;-261;-188;-22;-79
26007;Vale do Ipanema;PE;-752;-638;-689;-578;-241;-565
26008;Vale do Ipojuca;PE;1452;1621;1124;1900;3863;1744
26009;Alto Capibaribe;PE;4199;4486;4682;5035;5657;5397
26010;Médio Capibaribe;PE;-1899;-1945;-1939;-1709;-1479;-1721
26011;Garanhuns;PE;-2900;-2861;-2938;-3491;-2412;-2895
26012;Brejo Pernambucano;PE;-1596;-1850;-1733;-1856;-1492;-1717
26013;Mata Setentrional Pernambucana;PE;-3279;-3191;-3709;-3595;-2219;-2906
26014;Vitória de Santo Antão;PE;-845;-800;-1024;-928;-577;-1061
26015;Mata Meridional Pernambucana;PE;-2337;-2989;-3846;-2963;-1564;-1599
26016;Itamaracá;PE;1713;1520;1585;1464;1925;1969
26017;Recife;PE;-10967;-12784;-14683;-14760;-9548;-13627
26018;Suape;PE;1781;2045;2412;2091;2708;2506
26019;Fernando de Noronha;PE;60;21;33;44;32;48
27001;Serrana do Sertão Alagoano;AL;-1360;-1397;-1271;-1336;-1124;-1327
27002;Alagoana do Sertão do São Francisco;AL;-311;-253;-335;-403;-197;-274
27003;Santana do Ipanema;AL;-1997;-1845;-2001;-1952;-1732;-1825
27004;Batalha;AL;-971;-937;-915;-820;-788;-908
27005;Palmeira dos Índios;AL;-2319;-2167;-2525;-2240;-2061;-2336
27006;Arapiraca;AL;-1532;-1535;-1964;-2093;-868;-1540
27007;Traipu;AL;-365;-284;-178;-267;-285;-211
27008;Serrana dos Quilombos;AL;-1876;-1835;-1958;-1820;-1653;-1870
27009;Mata Alagoana;AL;-2941;-2762;-2580;-2562;-2244;-2343
27010;Litoral Norte Alagoano;AL;-73;-3;109;62;34;0
27011;Maceió;AL;2710;2373;2622;1756;3266;1885
27012;São Miguel dos Campos;AL;-296;-459;-340;-206;226;80
27013;Penedo;AL;-1227;-1264;-1270;-1120;-1042;-1148
28001;Sergipana do Sertão do São Francisco;SE;76;-124;-7;-17;57;-24
28002;Carira;SE;-82;-111;-160;-75;130;-58
28003;Nossa Senhora das Dores;SE;-244;-289;-257;-311;-167;-281
28004;Agreste de Itabaiana;SE;-502;-361;-500;-376;-84;-370
28005;Tobias Barreto;SE;-332;-323;-374;-304;-288;-420
28006;Agreste de Lagarto;SE;-167;-228;-220;-240;-158;-379
28007;Propriá;SE;-758;-932;-930;-896;-1011;-965
28008;Cotinguiba;SE;-34;-22;-42;23;86;30
28009;Japaratuba;SE;-101;-164;-250;-208;-111;-197
28010;Baixo Cotinguiba;SE;-3;56;7;124;201;81
28011;Aracaju;SE;6221;6119;6038;5758;7050;6542
28012;Boquim;SE;-1035;-946;-986;-817;-817;-987
28013;Estância;SE;-502;-439;-499;-408;-389;-617
29001;Barreiras;BA;5484;5482;5379;5935;6322;6313
29002;Cotegipe;BA;-1162;-1020;-885;-906;-1006;-952
29003;Santa Maria da Vitória;BA;-2528;-2494;-2618;-2549;-2302;-2460
29004;Juazeiro;BA;-2563;-2508;-2461;-3246;-2611;-3444
29005;Paulo Afonso;BA;-679;-486;-647;-730;-448;-501
29006;Barra;BA;-1591;-1376;-1523;-1635;-1562;-1464
29007;Bom Jesus da Lapa;BA;-1397;-1499;-1549;-1359;-1444;-1447
29008;Senhor do Bonfim;BA;-2106;-1952;-2012;-1891;-1905;-2199
29009;Irecê;BA;-2851;-2378;-2631;-2644;-2465;-2683
29010;Jacobina;BA;-3127;-2790;-2747;-3183;-2997;-3369
29011;Itaberaba;BA;-2605;-2519;-2649;-2556;-2546;-2636
29012;Feira de Santana;BA;-2437;-1783;-2089;-2390;-2375;-2402
29013;Jeremoabo;BA;-1891;-1670;-1731;-1511;-1440;-1568
29014;Euclides da Cunha;BA;-3101;-2802;-3072;-3002;-3070;-3243
29015;Ribeira do Pombal;BA;-1794;-1515;-1869;-1037;-1426;-1675
29016;Serrinha;BA;-2265;-2210;-2347;-2080;-2169;-2382
29017;Alagoinhas;BA;-862;-690;-719;-1193;-881;-928
29018;Entre Rios;BA;-296;-207;-62;-181;-155;-164
29019;Catu;BA;-196;-79;92;232;110;178
29020;Santo Antônio de Jesus;BA;-2041;-1974;-1759;-2041;-2206;-2217
29021;Salvador;BA;7872;7797;7962;7974;8669;9033
29022;Boquira;BA;-962;-983;-1070;-831;-956;-1045
29023;Seabra;BA;-3064;-3071;-2675;-2960;-2757;-3045
29024;Jequié;BA;-6322;-6380;-6004;-6169;-5766;-5856
29025;Livramento do Brumado;BA;-383;-304;-426;-332;-357;-462
29026;Guanambi;BA;-2658;-2629;-2770;-2873;-2521;-2678
29027;Brumado;BA;-4275;-4168;-4273;-3906;-3996;-3745
29028;Vitória da Conquista;BA;-5006;-4725;-5165;-5189;-5074;-5345
29029;Itapetinga;BA;-2894;-2669;-2281;-2578;-2056;-2017
29030;Valença;BA;-790;-518;-510;-951;-832;-1108
29031;Ilhéus-Itabuna;BA;-18449;-17785;-16989;-16925;-15726;-16791
29032;Porto Seguro;BA;-47;618;246;164;972;868
31001;Unaí;MG;-612;-679;-718;-593;-509;-842
31002;Paracatu;MG;-272;-248;-444;-672;-457;-659
31003;Januária;MG;-1412;-1620;-1794;-1409;-1467;-1528
31004;Janaúba;MG;-1742;-1905;-2202;-2002;-1860;-1893
31005;Salinas;MG;-1114;-1099;-1256;-1262;-1061;-1091
31006;Pirapora;MG;-792;-800;-972;-937;-530;-890
31007;Montes Claros;MG;-781;-744;-1284;-1304;-780;-1657
31008;Grão Mogol;MG;-241;-307;-296;-251;-145;-235
31009;Bocaiúva;MG;-260;-245;-259;-186;-234;-225
31010;Diamantina;MG;-768;-776;-901;-856;-891;-990
31011;Capelinha;MG;-1153;-1216;-1167;-1029;-1130;-1270
31012;Araçuaí;MG;-918;-1016;-1168;-984;-1105;-1154
31013;Pedra Azul;MG;-1003;-1041;-1028;-1051;-852;-863
31014;Almenara;MG;-1044;-924;-980;-901;-1002;-1011
31015;Teófilo Otoni;MG;-1988;-2074;-2172;-2189;-1982;-2266
31016;Nanuque;MG;-1257;-1301;-1409;-1262;-1200;-1202
31017;Ituiutaba;MG;-112;-108;-198;-161;-304;-298
31018;Uberlândia;MG;3249;3055;2683;2283;2673;2048
31019;Patrocínio;MG;-613;-820;-729;-770;-788;-856
31020;Patos de Minas;MG;-156;-284;-461;-805;-581;-798
31021;Frutal;MG;1196;1272;1228;1212;1438;1279
31022;Uberaba;MG;2775;2784;2377;2337;2797;2647
31023;Araxá;MG;1348;1387;1314;946;1035;1088
31024;Três Marias;MG;-8;-57;-123;-81;-25;-49
31025;Curvelo;MG;-628;-600;-850;-650;-575;-661
31026;Bom Despacho;MG;188;463;354;227;127;169
31027;Sete Lagoas;MG;1028;817;546;560;1179;895
31028;Conceição do Mato Dentro;MG;-1214;-1241;-1340;-1280;-1204;-1258
31029;Pará de Minas;MG;591;512;385;310;507;424
31030;Belo Horizonte;MG;-2048;-2886;-4996;-6062;-1434;-3646
31031;Itabira;MG;-1100;-1302;-1591;-1646;-1287;-1277
31032;Itaguara;MG;-104;-59;-131;-253;-112;-152
31033;Ouro Preto;MG;-142;-131;-257;-337;-166;-138
31034;Conselheiro Lafaiete;MG;198;240;-36;-44;38;81
31035;Guanhães;MG;-1030;-1029;-985;-1056;-1071;-1101
31036;Peçanha;MG;-1121;-978;-1031;-986;-1013;-1051
31037;Governador Valadares;MG;-2535;-2531;-2885;-2870;-2793;-2627
31038;Mantena;MG;-448;-372;-457;-549;-453;-481
31039;Ipatinga;MG;-418;-264;-723;-640;-9;-252
31040;Caratinga;MG;-1067;-1018;-1281;-1333;-1136;-1117
31041;Aimorés;MG;-1260;-1223;-1324;-1371;-1204;-1274
31042;Piuí;MG;-81;-99;-165;-145;-136;-248
31043;Divinópolis;MG;6706;6737;6979;7335;8138;8074
31044;Formiga;MG;-398;-492;-521;-471;-415;-552
31045;Campo Belo;MG;-114;-201;-208;-197;-176;-244
31046;Oliveira;MG;-239;-254;-258;-337;-207;-250
31047;Passos;MG;-554;-358;-492;-556;-552;-725
31048;São Sebastião do Paraíso;MG;-934;-1072;-1056;-1169;-1100;-1371
31049;Alfenas;MG;-366;-325;-513;-396;-473;-477
31050;Varginha;MG;-819;-848;-1098;-1222;-858;-1286
31051;Poços de Caldas;MG;516;657;481;388;447;310
31052;Pouso Alegre;MG;1941;1857;1800;1819;1968;1799
31053;Santa Rita do Sapucaí;MG;22;-104;-89;57;-24;-77
31054;São Lourenço;MG;-229;-270;-335;-514;-366;-475
31055;Andrelândia;MG;-439;-426;-445;-542;-441;-519
31056;Itajubá;MG;-858;-1050;-1062;-998;-1050;-1133
31057;Lavras;MG;205;18;-8;0;173;-10
31058;São João Del Rei;MG;-114;-197;-231;-288;-175;-268
31059;Barbacena;MG;124;-9;-85;-232;24;-66
31060;Ponte Nova;MG;-1692;-1596;-1812;-1790;-1802;-1829
31061;Manhuaçu;MG;-812;-729;-1080;-1106;-1033;-1033
31062;Viçosa;MG;-1216;-1120;-1113;-1248;-976;-1134
31063;Muriaé;MG;-970;-871;-1007;-903;-792;-843
31064;Ubá;MG;734;910;736;639;1008;734
31065;Juiz de Fora;MG;1025;1254;565;568;1382;575
31066;Cataguases;MG;-543;-574;-826;-714;-641;-884
32001;Barra de São Francisco;ES;-727;-637;-770;-881;-752;-745
32002;Nova Venécia;ES;-264;-493;-484;-587;-480;-548
32003;Colatina;ES;-341;-464;-594;-826;-779;-782
32004;Montanha;ES;-183;-226;-305;-299;-204;-324
32005;São Mateus;ES;621;488;265;379;475;265
32006;Linhares;ES;2399;2191;2007;2062;2318;2329
32007;Afonso Cláudio;ES;-567;-707;-795;-769;-661;-748
32008;Santa Teresa;ES;-228;-228;-344;-336;-418;-375
32009;Vitória;ES;3795;2808;1889;1466;3299;2177
32010;Guarapari;ES;696;615;328;279;466;484
32011;Alegre;ES;-1233;-1079;-1320;-1344;-1060;-1355
32012;Cachoeiro de Itapemirim;ES;-1196;-1207;-1678;-1644;-1308;-1522
32013;Itapemirim;ES;-214;-254;-354;-366;-409;-389
33001;Itaperuna;RJ;7;41;-81;-148;9;-124
33002;Santo Antônio de Pádua;RJ;-350;-364;-383;-499;-414;-496
33003;Campos dos Goytacazes;RJ;1304;360;-522;-854;-43;-344
33004;Macaé;RJ;8005;8137;8383;8606;9715;9911
33005;Três Rios;RJ;-267;-203;-450;-599;-351;-549
33006;Cantagalo-Cordeiro;RJ;-110;-4;-118;-148;-84;-172
33007;Nova Friburgo;RJ;-798;-628;-699;-842;-595;-719
33008;Santa Maria Madalena;RJ;-108;-115;-176;-184;-122;-155
33009;Bacia de São João;RJ;14219;15576;17187;19046;21455;23715
33010;Lagos;RJ;14228;14899;14761;14966;15959;16079
33011;Vale do Paraíba Fluminense;RJ;-786;-481;-1092;-1079;-433;-714
33012;Barra do Piraí;RJ;100;29;-48;-145;-6;-53
33013;Baía da Ilha Grande;RJ;4433;4596;4419;4651;4910;5268
33014;Vassouras;RJ;293;326;63;24;190;-26
33015;Serrana;RJ;-101;-259;-432;-749;-244;-738
33016;Macacu-Caceribu;RJ;246;129;-25;-86;69;68
33017;Itaguaí;RJ;3759;3716;3755;3817;4064;4272
33018;Rio de Janeiro;RJ;-14764;-16028;-24577;-28791;-11959;-23835
35001;Jales;SP;-569;-649;-889;-765;-675;-893
35002;Fernandópolis;SP;-245;-310;-365;-446;-281;-323
35003;Votuporanga;SP;308;237;261;48;245;226
35004;São José do Rio Preto;SP;2945;2935;2133;2235;2653;2359
35005;Catanduva;SP;286;433;187;351;283;260
35006;Auriflama;SP;-109;-147;-145;-133;-100;-151
35007;Nhandeara;SP;345;278;210;293;291;221
35008;Novo Horizonte;SP;183;203;123;134;144;100
35009;Barretos;SP;-248;-265;-389;-463;-186;-526
35010;São Joaquim da Barra;SP;26;-21;119;-55;234;17
35011;Ituverava;SP;-164;-144;-231;-216;-132;-316
35012;Franca;SP;-629;-737;-1064;-1265;-1209;-1356
35013;Jaboticabal;SP;-1226;-1279;-1491;-1273;-1289;-1449
35014;Ribeirão Preto;SP;8067;8218;7633;7346;8941;8291
35015;Batatais;SP;-129;-66;-101;-237;-82;-188
35016;Andradina;SP;-819;-770;-768;-811;-628;-744
35017;Araçatuba;SP;288;200;149;124;407;28
35018;Birigui;SP;840;647;573;480;864;503
35019;Lins;SP;-97;-22;-54;-111;-11;-70
35020;Bauru;SP;-47;-185;-569;-495;-22;-380
35021;Jaú;SP;767;624;769;663;759;710
35022;Avaré;SP;327;470;365;345;549;322
35023;Botucatu;SP;924;1040;640;730;912;865
35024;Araraquara;SP;927;950;553;576;1194;563
35025;São Carlos;SP;856;867;691;562;595;469
35026;Rio Claro;SP;516;543;381;301;458;393
35027;Limeira;SP;1707;1733;1264;1447;1405;1462
35028;Piracicaba;SP;982;795;580;323;853;326
35029;Pirassununga;SP;207;113;134;172;-28;72
35030;São João da Boa Vista;SP;-1632;-1775;-2028;-1980;-1960;-2281
35031;Mogi Mirim;SP;1104;1136;1073;946;1021;993
35032;Campinas;SP;18134;18277;17734;16231;18962;18106
35033;Amparo;SP;536;430;353;332;573;319
35034;Dracena;SP;-93;-87;-260;-193;-163;-163
35035;Adamantina;SP;-198;-161;-267;-58;-75;-188
35036;Presidente Prudente;SP;-2089;-2108;-2495;-2695;-2199;-2757
35037;Tupã;SP;-684;-720;-737;-862;-690;-772
35038;Marília;SP;-925;-940;-1032;-1199;-1156;-1513
35039;Assis;SP;-545;-513;-647;-881;-633;-905
35040;Ourinhos;SP;-733;-632;-660;-767;-564;-958
35041;Itapeva;SP;-2025;-2123;-2087;-2266;-2084;-2162
35042;Itapetininga;SP;1051;1014;919;863;1035;934
35043;Tatuí;SP;2653;2837;2594;2711;2906;2860
35044;Capão Bonito;SP;-2125;-2221;-2284;-2269;-2062;-2257
35045;Piedade;SP;-870;-880;-924;-1112;-916;-1226
35046;Sorocaba;SP;6161;6500;6044;5509;6527;5648
35047;Jundiaí;SP;4106;4193;4331;3792;4445;4335
35048;Bragança Paulista;SP;3813;3522;3592;3355;3951;3568
35049;Campos do Jordão;SP;-321;-346;-382;-378;-349;-403
35050;São José dos Campos;SP;1817;1609;523;994;1719;929
35051;Guaratinguetá;SP;-823;-869;-956;-977;-868;-1105
35052;Bananal;SP;-96;-69;-89;-73;-77;-108
35053;Paraibuna/Paraitinga;SP;-525;-497;-560;-537;-527;-696
35054;Caraguatatuba;SP;2753;3010;2793;2626;2960;2622
35055;Registro;SP;-2770;-2723;-2958;-3036;-2829;-2929
35056;Itanhaém;SP;1940;2106;2014;2111;2268;2046
35057;Osasco;SP;-8732;-9038;-9547;-10575;-9042;-9784
35058;Franco da Rocha;SP;2826;2696;2398;2241;2755;2552
